충전소ID,충전소명,충전소주소,위도,경도
4480,공단복지회관,경상남도 함안군 법수면 윤외리 1475-11,35.31524671,128.3630988
4481,대원민원센터,경상남도 창원시 의창구 대원동 93-1,35.23237609,128.6505117
4482,경남문화예술회관 주차장,경상남도 진주시 칠암동 500-15,35.1859818,128.0934119
4484,경상북도청소년수련원,경상북도 김천시 아포읍 대성리 산 120,36.12599472,128.2797759
4485,홈플러스 구미점(2층),경상북도 구미시 광평동 792-21,36.10277151,128.3637729
4486,봉화읍사무소,경상북도 봉화군 봉화읍 내성리 197-1,36.887822,128.739532
4470,(고속도로)청송휴게소 청주방면,경상북도 청송군 파천면 중평리 594-1,36.45684813,129.0118344
4471,청송군청 주차장,경상북도 청송군 청송읍 월막리 330,36.43541886,129.0573697
4472,주실마을 주차장  충전소,경상북도 영양군 일월면 554-3,36.71962,129.09713
4473,사벌문화복지센터,경상북도 상주시 사벌국면 덕담리 372-1,36.46782198,128.2112392
4474,동서1길 공영주차장,경상북도 의성군 의성읍 상리리 709-4,36.34979481,128.7017295
4475,금성공영주차장,경상북도 의성군 금성면 대리리 30-55,36.25277438,128.6826345
4462,나래울공원,경기도 김포시 운양동 1258-1,37.65400057,126.6930407
4463,김포문화재단,경기도 김포시 사우동 925,37.61889373,126.7201511
4464,노은면 행정복지센터,충청북도 충주시 노은면 연하리 539-2,37.04796385,127.7540746
4465,엄정면 행정복지센터,충청북도 충주시 엄정면 용산리 465-4,37.08655843,127.9149644
4466,서암체육공원,경기도 김포시 통진읍 서암리 151-4,37.70484642,126.5971965
4467,솔터체육공원,경기도 김포시 마산동 642-1,37.64045338,126.6492245
